ref_date,year,quarter,geo_level,geo_code,geo_name,parent_geo_code,parent_geo_name,sector,inv_grade_yield_pct,high_yield_yield_pct,ig_spread_bps,hy_spread_bps,default_rate_pct,new_issuance_100m_cny,downgrade_ratio_pct,npl_ratio_pct,source_org,release_date,data_status
2016-01-01,2016,1,national,CN,中国,,,科技,3.491,8.177,133,483,1.483,42800,4.081,1.42,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,national,CN,中国,,,金融,3.492,7.594,98,465,1.422,42800,2.19,1.092,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,national,CN,中国,,,能源,3.366,7.454,116,416,0.848,42800,2.393,1.385,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,national,CN,中国,,,消费,3.186,8.246,130,499,0.545,42800,2.618,1.645,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,national,CN,中国,,,工业,3.599,7.838,138,522,1.541,42800,3.681,1.576,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,national,CN,中国,,,医疗健康,3.586,7.16,115,525,1.504,42800,2.888,1.47,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,national,CN,中国,,,公用事业,3.153,8.257,125,373,1.087,42800,3.503,1.584,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,national,CN,中国,,,地产,3.215,8.175,166,516,1.036,42800,4.011,1.29,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,national,CN,中国,,,材料,3.417,7.573,107,515,1.388,42800,3.382,1.056,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,national,CN,中国,,,通信服务,3.2,6.862,119,450,0.589,42800,4.105,1.709,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,national,CN,中国,,,可选消费,3.232,7.266,162,557,1.588,42800,5.19,1.356,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NC,华北,CN,中国,科技,3.109,7.658,136,522,0.615,5218.79,2.52,1.111,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NC,华北,CN,中国,金融,3.155,7.352,124,402,1.336,5669.81,3.363,1.033,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NC,华北,CN,中国,能源,3.51,6.842,144,435,1.352,5583.61,2.723,1.378,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NC,华北,CN,中国,消费,3.276,8.18,104,406,0.532,4439.06,2.698,0.996,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NC,华北,CN,中国,工业,3.372,8.394,96,446,1.327,4542.08,4.228,1.303,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NC,华北,CN,中国,医疗健康,3.232,7.433,107,524,0.945,4548.74,3.085,1.089,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NC,华北,CN,中国,公用事业,3.402,6.916,114,415,0.303,4060.07,2.185,1.009,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NC,华北,CN,中国,地产,3.052,8.635,125,528,2.093,4985.93,4.996,1.692,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NC,华北,CN,中国,材料,3.587,7.093,103,412,1.106,5268.24,3.72,1.556,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NC,华北,CN,中国,通信服务,3.425,8.17,121,441,0.746,4797.92,2.864,1.551,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NC,华北,CN,中国,可选消费,3.315,9.04,148,537,1.553,4123.76,4.16,1.304,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NE,东北,CN,中国,科技,2.906,7.587,114,410,1.456,2157.15,3.502,1.27,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NE,东北,CN,中国,金融,3.412,7.855,115,486,0.652,2089.95,3.156,1.234,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NE,东北,CN,中国,能源,3.41,8.084,108,490,1.291,1685.36,2.166,1.585,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NE,东北,CN,中国,消费,3.051,8.292,124,397,1.149,1884.74,2.763,1.207,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NE,东北,CN,中国,工业,3.511,7.05,132,422,1.113,2271.39,4.188,1.401,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NE,东北,CN,中国,医疗健康,3.346,8.177,104,522,1.44,1728.23,2.284,1.165,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NE,东北,CN,中国,公用事业,3.522,7.534,93,374,1.084,1839.82,1.938,1.447,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NE,东北,CN,中国,地产,3.042,7.737,133,512,1.282,1841.82,3.83,1.36,银行间市场交易商协会,2016-02-25,final
