ref_date,year,month,geo_level,geo_code,geo_name,parent_geo_code,parent_geo_name,overall_cpi_idx,food_cpi_idx,energy_cpi_idx,core_cpi_idx,services_cpi_idx,yoy_change_pct,mom_change_pct,base_period,source_org,release_date,data_status
2016-01-01,2016,1,national,CN,中国,,,100.407,102.396,99.125,100.432,101.538,0.978,0.056,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-NC,华北,CN,中国,99.002,100.257,99.271,98.098,98.943,0.265,0.34,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-NE,东北,CN,中国,99.493,100.844,102.143,98.703,99.748,1.411,-0.048,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-EC,华东,CN,中国,99.748,100.35,101.13,98.912,101.163,1.165,-0.252,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-CC,华中,CN,中国,99.637,98.838,97.255,99.27,100.244,0.43,0.389,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-SC,华南,CN,中国,100.043,101.817,100.149,100.076,99.947,1.027,0.087,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-SW,西南,CN,中国,100.925,101.704,99.288,100.304,100.903,0.138,-0.085,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-NW,西北,CN,中国,99.399,98.069,99.697,99.364,100.798,0.403,0.344,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-BJ,北京,CN-R-NC,华北,100.486,101.285,99.856,100.299,101.415,1.685,-0.079,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-TJ,天津,CN-R-NC,华北,100.642,102.304,102.317,99.961,101.648,1.596,-0.003,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HE,河北,CN-R-NC,华北,101.462,100.418,98.718,100.879,102.352,1.82,0.061,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-SX,山西,CN-R-NC,华北,99.14,99.564,99.735,99.096,99.065,1.565,0.182,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-NM,内蒙古,CN-R-NC,华北,100.485,99.438,99.241,99.785,100.449,0.983,0.454,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-LN,辽宁,CN-R-NE,东北,99.333,98.947,99.144,98.712,100.786,0.307,0.153,2016-01=100,国家统计局,2016-02-10,final
