ref_date,year,month,geo_level,geo_code,geo_name,parent_geo_code,parent_geo_name,labor_force_10k,employed_10k,unemployed_10k,unemployment_rate_pct,youth_unemp_rate_pct,participation_rate_pct,avg_monthly_wage_cny,new_urban_jobs_10k,source_org,release_date,data_status
2016-01-01,2016,1,national,CN,中国,,,87735.23,83039.12,4696.1,5.353,17.002,65.276,8063.5,99.97,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-NC,华北,CN,中国,10327.53,9864.08,463.44,4.487,15.185,66.068,11105.53,12.99,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-NE,东北,CN,中国,4198.88,3983.6,215.28,5.127,16.469,66.674,7979.05,4.13,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-EC,华东,CN,中国,33986.69,32415.02,1571.67,4.624,14.666,65.0,11841.22,41.98,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-CC,华中,CN,中国,11528.3,10967.74,560.56,4.862,14.682,65.409,9690.59,13.73,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-SC,华南,CN,中国,11797.9,11173.66,624.24,5.291,13.526,65.852,11349.22,15.43,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-SW,西南,CN,中国,10095.77,9526.61,569.17,5.638,15.519,66.334,8141.18,9.79,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-NW,西北,CN,中国,5214.04,4923.8,290.23,5.566,17.327,66.387,10127.39,5.56,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-BJ,北京,CN-R-NC,华北,3150.59,3001.62,148.97,4.728,17.205,66.04,10817.37,3.34,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-TJ,天津,CN-R-NC,华北,1208.91,1139.73,69.18,5.722,15.429,65.618,11264.9,1.52,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HE,河北,CN-R-NC,华北,3110.48,2953.98,156.5,5.032,13.942,66.647,11715.31,3.98,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-SX,山西,CN-R-NC,华北,1737.46,1640.42,97.03,5.585,14.741,65.331,12277.14,2.27,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-NM,内蒙古,CN-R-NC,华北,1225.25,1168.13,57.12,4.662,13.472,66.255,12298.52,1.39,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-LN,辽宁,CN-R-NE,东北,2119.56,2004.05,115.51,5.45,14.345,66.395,12194.18,2.48,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-JL,吉林,CN-R-NE,东北,796.5,758.74,37.76,4.741,15.713,67.171,10875.13,1.0,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HL,黑龙江,CN-R-NE,东北,1137.49,1081.39,56.1,4.932,16.419,65.178,9014.81,1.48,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-SH,上海,CN-R-EC,华东,3169.06,2991.37,177.7,5.607,17.05,66.398,8215.9,3.46,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-JS,江苏,CN-R-EC,华东,8844.57,8410.47,434.11,4.908,17.158,66.007,10392.61,9.04,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-ZJ,浙江,CN-R-EC,华东,5879.09,5610.1,268.99,4.575,15.617,66.503,9202.99,7.55,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-AH,安徽,CN-R-EC,华东,3304.41,3118.73,185.68,5.619,16.222,66.895,8602.78,3.24,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-FJ,福建,CN-R-EC,华东,3502.73,3309.03,193.71,5.53,16.192,66.501,10440.68,4.09,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-JX,江西,CN-R-EC,华东,2169.24,2048.52,120.72,5.565,15.591,67.2,8980.96,2.78,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-SD,山东,CN-R-EC,华东,7897.91,7500.05,397.87,5.038,15.273,67.227,11362.3,7.76,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HA,河南,CN-R-CC,华中,4130.57,3889.95,240.62,5.825,14.397,66.544,11499.8,4.24,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HB,湖北,CN-R-CC,华中,3913.97,3699.33,214.64,5.484,13.697,66.25,9061.13,4.76,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HN,湖南,CN-R-CC,华中,3371.54,3211.08,160.46,4.759,15.206,66.046,8112.76,3.43,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-GD,广东,CN-R-SC,华南,9424.79,8906.13,518.66,5.503,15.015,66.827,8774.7,10.11,国家统计局,2016-02-10,final
