ref_date,year,month,geo_level,geo_code,geo_name,parent_geo_code,parent_geo_name,usd_cny,eur_cny,jpy_cny,gbp_cny,cfets_index,dxy_index,fx_reserve_100m_usd,fx_vol_1m_pct,source_org,release_date,data_status
2016-01-01,2016,1,national,CN,中国,,,6.9689,7.8335,0.043832,8.9007,100.083,101.615,31683.61,5.334,国家外汇管理局,2016-02-10,final
2016-02-01,2016,2,national,CN,中国,,,7.0164,7.9505,0.046543,9.0907,100.219,104.636,31623.09,5.464,国家外汇管理局,2016-03-12,final
2016-03-01,2016,3,national,CN,中国,,,7.1718,7.6937,0.045385,9.2364,101.064,102.357,31938.49,5.965,国家外汇管理局,2016-04-10,final
2016-04-01,2016,4,national,CN,中国,,,7.1832,7.6721,0.048272,8.9677,102.619,100.289,32254.17,5.333,国家外汇管理局,2016-05-11,final
2016-05-01,2016,5,national,CN,中国,,,7.0252,7.6995,0.046368,9.0556,98.469,101.256,31761.07,4.618,国家外汇管理局,2016-06-10,final
2016-06-01,2016,6,national,CN,中国,,,7.0687,7.6159,0.047566,8.8047,98.727,101.696,32250.38,5.983,国家外汇管理局,2016-07-11,final
2016-07-01,2016,7,national,CN,中国,,,7.0282,7.6342,0.050833,8.9931,101.074,99.975,31877.24,5.086,国家外汇管理局,2016-08-10,final
2016-08-01,2016,8,national,CN,中国,,,7.0314,7.6449,0.04508,8.9742,98.595,102.394,32224.73,5.736,国家外汇管理局,2016-09-10,final
2016-09-01,2016,9,national,CN,中国,,,6.8992,7.6903,0.043005,8.7761,100.155,105.447,31499.2,5.628,国家外汇管理局,2016-10-11,final
2016-10-01,2016,10,national,CN,中国,,,6.9609,7.7027,0.050948,8.7121,102.166,103.772,31831.54,5.431,国家外汇管理局,2016-11-10,final
2016-11-01,2016,11,national,CN,中国,,,7.0534,7.7541,0.048869,8.7797,101.256,102.129,31760.51,6.489,国家外汇管理局,2016-12-11,final
2016-12-01,2016,12,national,CN,中国,,,7.0748,7.8321,0.048362,9.0063,98.982,104.243,32245.43,5.863,国家外汇管理局,2017-01-10,final
2017-01-01,2017,1,national,CN,中国,,,7.1448,7.7288,0.048797,8.8478,98.381,101.997,32332.3,6.116,国家外汇管理局,2017-02-10,final
2017-02-01,2017,2,national,CN,中国,,,7.0305,7.8639,0.048719,9.167,102.288,100.498,31728.26,4.586,国家外汇管理局,2017-03-13,final
2017-03-01,2017,3,national,CN,中国,,,7.1498,7.9892,0.045203,9.2699,100.087,104.509,31666.04,4.243,国家外汇管理局,2017-04-10,final
2017-04-01,2017,4,national,CN,中国,,,7.1014,7.8816,0.045765,9.0138,98.241,103.129,31724.51,6.033,国家外汇管理局,2017-05-11,final
2017-05-01,2017,5,national,CN,中国,,,7.0092,7.7461,0.047571,8.8212,99.734,103.604,32032.67,5.939,国家外汇管理局,2017-06-10,final
2017-06-01,2017,6,national,CN,中国,,,7.0662,7.7976,0.048905,8.9012,101.536,100.911,32172.21,4.583,国家外汇管理局,2017-07-11,final
2017-07-01,2017,7,national,CN,中国,,,7.0959,7.7926,0.048119,8.9185,98.209,99.846,31893.92,6.304,国家外汇管理局,2017-08-10,final
2017-08-01,2017,8,national,CN,中国,,,7.0542,7.6885,0.04563,9.0447,98.248,105.817,32205.13,4.637,国家外汇管理局,2017-09-10,final
2017-09-01,2017,9,national,CN,中国,,,6.9525,7.8198,0.047941,8.6404,101.21,102.467,32006.07,4.887,国家外汇管理局,2017-10-11,final
2017-10-01,2017,10,national,CN,中国,,,7.0941,7.7827,0.047633,8.8796,99.269,101.732,32101.25,5.362,国家外汇管理局,2017-11-10,final
2017-11-01,2017,11,national,CN,中国,,,6.9197,7.6319,0.049648,8.7579,101.637,104.673,32104.26,5.903,国家外汇管理局,2017-12-11,final
2017-12-01,2017,12,national,CN,中国,,,7.1338,7.9149,0.046995,8.7911,100.215,103.664,32047.71,5.639,国家外汇管理局,2018-01-10,final
2018-01-01,2018,1,national,CN,中国,,,7.1899,7.72,0.044654,9.0561,99.503,106.225,32261.01,5.994,国家外汇管理局,2018-02-10,final
2018-02-01,2018,2,national,CN,中国,,,7.0271,7.9286,0.047113,9.1814,98.509,101.511,31834.86,5.207,国家外汇管理局,2018-03-13,final
2018-03-01,2018,3,national,CN,中国,,,7.1142,7.7904,0.047621,9.1254,102.14,103.003,32475.61,4.721,国家外汇管理局,2018-04-10,final
2018-04-01,2018,4,national,CN,中国,,,6.9793,8.0145,0.049665,9.1847,100.474,104.355,32457.56,4.914,国家外汇管理局,2018-05-11,final
