ref_date,year,quarter,geo_level,geo_code,geo_name,parent_geo_code,parent_geo_name,nominal_gdp_100m_cny,real_gdp_100m_cny,consumption_100m_cny,investment_100m_cny,government_spending_100m_cny,exports_100m_cny,imports_100m_cny,net_export_100m_cny,gdp_yoy_pct,consumption_contrib_pct,investment_contrib_pct,net_export_contrib_pct,seasonal_adj,source_org,release_date,data_status
2016-01-01,2016,1,national,CN,中国,,,163115.32,160231.16,88400.65,65978.23,25331.52,30788.75,47383.83,-16595.08,4.496,66.986,33.789,-0.775,NSA,国家统计局,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NC,华北,CN,中国,19766.21,19416.72,10509.89,7660.45,2848.24,3930.02,5182.39,-1252.37,5.069,58.979,36.276,4.745,NSA,国家统计局,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NE,东北,CN,中国,7697.14,7561.05,4078.82,3111.08,1215.57,1495.89,2204.22,-708.33,4.141,49.767,33.981,16.252,SA,国家统计局,2016-02-25,final
2016-01-01,2016,1,region,CN-R-EC,华东,CN,中国,63297.35,62178.14,35111.3,25380.13,10061.32,11349.58,18604.98,-7255.4,4.603,56.21,32.7,11.09,NSA,国家统计局,2016-02-25,final
2016-01-01,2016,1,region,CN-R-CC,华中,CN,中国,21869.25,21482.57,11699.95,8703.18,3376.84,4507.42,6418.14,-1910.72,4.612,57.929,23.334,18.737,NSA,国家统计局,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SC,华南,CN,中国,22115.67,21724.63,11722.86,9322.01,3355.04,4561.34,6845.58,-2284.24,4.572,65.062,28.877,6.061,NSA,国家统计局,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SW,西南,CN,中国,18569.52,18241.18,9931.64,7675.92,2899.85,3243.89,5181.78,-1937.89,4.845,49.559,30.542,19.899,NSA,国家统计局,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NW,西北,CN,中国,9800.17,9626.89,5346.2,4125.46,1574.67,1700.6,2946.76,-1246.16,3.793,56.948,36.213,6.839,SA,国家统计局,2016-02-25,final
2016-01-01,2016,1,province,CN-BJ,北京,CN-R-NC,华北,5879.61,5775.64,3081.66,2321.97,831.0,1227.43,1582.45,-355.02,5.083,54.729,35.206,10.065,NSA,国家统计局,2016-02-25,final
2016-01-01,2016,1,province,CN-TJ,天津,CN-R-NC,华北,2301.46,2260.77,1229.83,908.56,350.25,382.01,569.19,-187.18,4.714,66.855,35.877,-2.732,NSA,国家统计局,2016-02-25,final
2016-01-01,2016,1,province,CN-HE,河北,CN-R-NC,华北,5923.13,5818.41,3145.34,2320.93,806.68,1148.59,1498.41,-349.82,3.861,66.783,36.271,-3.054,NSA,国家统计局,2016-02-25,final
2016-01-01,2016,1,province,CN-SX,山西,CN-R-NC,华北,3348.38,3289.18,1815.57,1256.67,520.54,697.08,941.48,-244.4,4.36,60.045,30.265,9.69,NSA,国家统计局,2016-02-25,final
2016-01-01,2016,1,province,CN-NM,内蒙古,CN-R-NC,华北,2313.63,2272.73,1237.5,852.31,339.77,474.92,590.87,-115.95,4.901,58.696,38.993,2.311,NSA,国家统计局,2016-02-25,final
2016-01-01,2016,1,province,CN-LN,辽宁,CN-R-NE,东北,4029.24,3958.01,2145.13,1643.79,646.83,714.11,1120.62,-406.51,4.274,53.074,34.439,12.487,NSA,国家统计局,2016-02-25,final
2016-01-01,2016,1,province,CN-JL,吉林,CN-R-NE,东北,1525.53,1498.55,809.44,587.63,240.99,311.27,423.8,-112.53,3.578,61.565,34.241,4.194,SA,国家统计局,2016-02-25,final
2016-01-01,2016,1,province,CN-HL,黑龙江,CN-R-NE,东北,2142.37,2104.49,1124.25,879.66,327.74,470.51,659.79,-189.28,3.849,60.557,25.326,14.117,SA,国家统计局,2016-02-25,final
2016-01-01,2016,1,province,CN-SH,上海,CN-R-EC,华东,6003.85,5897.7,3473.63,2514.23,976.21,1131.37,2091.59,-960.22,3.882,60.569,24.882,14.549,NSA,国家统计局,2016-02-25,final
2016-01-01,2016,1,province,CN-JS,江苏,CN-R-EC,华东,15746.55,15468.12,8705.05,6180.57,2515.0,2672.65,4326.72,-1654.07,3.858,59.847,26.922,13.231,NSA,国家统计局,2016-02-25,final
2016-01-01,2016,1,province,CN-ZJ,浙江,CN-R-EC,华东,10824.89,10633.49,5844.47,4331.35,1756.48,1961.17,3068.58,-1107.41,4.98,54.211,23.992,21.797,SA,国家统计局,2016-02-25,final
2016-01-01,2016,1,province,CN-AH,安徽,CN-R-EC,华东,6052.74,5945.71,3316.49,2308.55,1028.05,989.8,1590.15,-600.35,4.98,59.902,29.649,10.449,NSA,国家统计局,2016-02-25,final
2016-01-01,2016,1,province,CN-FJ,福建,CN-R-EC,华东,6328.09,6216.19,3652.31,2515.91,1051.68,1020.79,1912.6,-891.81,4.788,58.504,26.665,14.831,SA,国家统计局,2016-02-25,final
