ref_date,year,geo_level,geo_code,geo_name,parent_geo_code,parent_geo_name,tax_revenue_100m_cny,non_tax_revenue_100m_cny,total_revenue_100m_cny,expenditure_100m_cny,deficit_100m_cny,debt_balance_100m_cny,debt_to_gdp_pct,fiscal_balance_pct_gdp,transfer_payment_100m_cny,social_security_100m_cny,source_org,release_date,data_status
2016-01-01,2016,national,CN,中国,,,175982.58,40017.42,216000,278000,62000.0,680000,91.382,-8.332,50958.11,71991.11,财政部,2016-04-20,final
2016-01-01,2016,region,CN-R-NC,华北,CN,中国,22361.23,4252.12,26613.35,37208.95,10595.6,81893.54,90.554,-11.716,7441.72,10542.47,财政部,2016-04-20,final
2016-01-01,2016,region,CN-R-NE,东北,CN,中国,8263.83,1911.03,10174.86,14439.79,4264.93,30059.52,88.325,-12.532,2899.08,3675.62,财政部,2016-04-20,final
2016-01-01,2016,region,CN-R-EC,华东,CN,中国,67839.44,18126.89,85966.33,108330.61,22364.28,264280.84,88.139,-7.459,20177.22,27950.91,财政部,2016-04-20,final
2016-01-01,2016,region,CN-R-CC,华中,CN,中国,24768.16,4266.5,29034.66,37274.21,8239.55,92227.59,96.875,-8.655,6038.58,8966.74,财政部,2016-04-20,final
2016-01-01,2016,region,CN-R-SC,华南,CN,中国,21768.56,5794.5,27563.06,33975.36,6412.3,93895.08,98.769,-6.745,6744.18,8419.82,财政部,2016-04-20,final
2016-01-01,2016,region,CN-R-SW,西南,CN,中国,20461.5,3784.73,24246.23,30115.16,5868.93,81303.44,93.3,-6.735,4950.95,9137.27,财政部,2016-04-20,final
2016-01-01,2016,region,CN-R-NW,西北,CN,中国,10519.86,1881.66,12401.52,16655.91,4254.39,36339.99,85.702,-10.033,2706.39,3298.29,财政部,2016-04-20,final
2016-01-01,2016,province,CN-BJ,北京,CN-R-NC,华北,6802.44,1125.7,7928.14,11625.97,3697.83,25724.02,96.74,-13.906,2358.58,3158.4,财政部,2016-04-20,final
2016-01-01,2016,province,CN-TJ,天津,CN-R-NC,华北,2442.35,639.64,3081.99,4447.74,1365.75,9480.34,86.831,-12.509,585.0,1502.65,财政部,2016-04-20,final
2016-01-01,2016,province,CN-HE,河北,CN-R-NC,华北,6586.86,1294.88,7881.74,10466.74,2585.0,22390.63,81.897,-9.455,2360.39,3026.34,财政部,2016-04-20,final
2016-01-01,2016,province,CN-SX,山西,CN-R-NC,华北,3996.29,655.42,4651.71,6576.24,1924.53,15047.42,99.713,-12.753,1256.17,1705.39,财政部,2016-04-20,final
2016-01-01,2016,province,CN-NM,内蒙古,CN-R-NC,华北,2533.3,536.46,3069.76,4092.26,1022.5,9251.14,88.136,-9.741,881.59,1149.69,财政部,2016-04-20,final
2016-01-01,2016,province,CN-LN,辽宁,CN-R-NE,东北,4223.57,962.76,5186.33,7171.75,1985.42,15703.17,90.129,-11.395,1449.87,1556.34,财政部,2016-04-20,final
2016-01-01,2016,province,CN-JL,吉林,CN-R-NE,东北,1628.4,341.32,1969.72,2732.82,763.1,5465.66,78.868,-11.011,434.53,745.35,财政部,2016-04-20,final
2016-01-01,2016,province,CN-HL,黑龙江,CN-R-NE,东北,2411.86,606.95,3018.81,4535.22,1516.41,8890.69,91.847,-15.666,1014.67,1373.92,财政部,2016-04-20,final
