ref_date,year,month,geo_level,geo_code,geo_name,parent_geo_code,parent_geo_name,total_index,manufacturing_index,mining_index,utilities_index,hightech_index,equipment_mfg_index,capacity_utilization_pct,yoy_growth_pct,mom_growth_sa_pct,source_org,release_date,data_status
2016-01-01,2016,1,national,CN,中国,,,100.325,102.717,93.416,107.746,113.405,103.888,74.825,6.306,-0.136,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-NC,华北,CN,中国,96.332,98.751,86.712,102.157,109.532,98.512,73.378,4.646,0.081,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-NE,东北,CN,中国,103.34,102.684,95.022,106.039,117.791,115.713,75.058,6.156,0.913,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-EC,华东,CN,中国,99.148,98.605,90.567,105.193,109.727,103.902,73.746,5.954,0.961,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-CC,华中,CN,中国,97.788,101.599,88.73,100.368,110.124,101.751,74.511,5.622,0.068,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-SC,华南,CN,中国,95.626,96.131,87.486,103.457,103.245,99.994,73.85,3.92,0.929,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-SW,西南,CN,中国,98.651,98.075,93.731,100.578,108.148,105.973,77.222,5.581,-0.034,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-NW,西北,CN,中国,96.744,99.733,89.33,99.26,104.306,102.881,74.939,4.588,0.738,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-BJ,北京,CN-R-NC,华北,98.269,98.389,93.572,102.194,109.77,102.846,75.326,6.166,0.177,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-TJ,天津,CN-R-NC,华北,97.564,101.187,90.417,102.519,107.324,99.733,76.898,4.086,0.158,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HE,河北,CN-R-NC,华北,105.193,103.249,100.564,108.555,115.629,113.303,73.461,4.146,-0.106,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-SX,山西,CN-R-NC,华北,99.356,101.514,96.309,104.175,108.805,110.661,74.054,4.353,0.788,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-NM,内蒙古,CN-R-NC,华北,104.131,106.116,102.279,105.867,113.837,106.263,74.076,5.89,-0.155,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-LN,辽宁,CN-R-NE,东北,100.976,100.188,91.246,103.512,116.724,110.109,75.345,4.509,0.096,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-JL,吉林,CN-R-NE,东北,100.008,102.787,91.437,108.988,113.611,110.593,74.475,5.639,0.971,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HL,黑龙江,CN-R-NE,东北,104.322,102.351,94.109,105.75,113.286,113.346,73.617,4.284,0.084,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-SH,上海,CN-R-EC,华东,103.747,103.775,101.218,112.652,117.338,112.792,75.249,4.089,0.205,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-JS,江苏,CN-R-EC,华东,95.578,96.106,92.723,101.158,107.505,100.621,73.172,5.572,0.132,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-ZJ,浙江,CN-R-EC,华东,99.179,102.488,95.188,103.54,107.01,103.27,73.482,6.223,0.494,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-AH,安徽,CN-R-EC,华东,99.568,100.77,97.332,107.437,112.991,107.887,76.663,4.385,0.985,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-FJ,福建,CN-R-EC,华东,99.987,98.27,91.438,104.083,110.155,107.608,76.454,5.378,0.436,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-JX,江西,CN-R-EC,华东,98.846,99.897,91.331,106.642,111.151,106.861,76.246,3.964,0.326,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-SD,山东,CN-R-EC,华东,104.976,105.099,100.461,108.409,113.289,111.572,75.084,6.393,0.129,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HA,河南,CN-R-CC,华中,100.689,98.79,98.819,108.315,114.794,111.512,74.018,6.142,0.641,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HB,湖北,CN-R-CC,华中,102.786,106.796,100.05,105.727,119.866,105.416,77.009,4.899,0.683,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HN,湖南,CN-R-CC,华中,103.099,106.96,96.535,104.144,118.244,110.886,77.358,6.521,0.396,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-GD,广东,CN-R-SC,华南,102.863,104.346,97.517,105.951,118.6,114.229,73.597,4.679,0.851,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-GX,广西,CN-R-SC,华南,101.161,100.273,90.915,106.71,112.742,104.564,74.104,3.997,0.662,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HI,海南,CN-R-SC,华南,98.535,100.388,95.999,105.686,109.146,103.332,74.483,6.975,0.987,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-CQ,重庆,CN-R-SW,西南,102.564,104.666,99.778,107.682,117.458,104.743,76.993,3.969,-0.095,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-SC,四川,CN-R-SW,西南,101.107,101.128,98.507,110.174,110.392,106.779,76.913,5.946,0.511,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-GZ,贵州,CN-R-SW,西南,96.177,94.898,90.574,102.65,109.214,100.025,75.291,6.87,0.9,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-YN,云南,CN-R-SW,西南,97.007,98.279,88.372,102.427,112.693,99.149,74.165,5.475,0.109,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-XZ,西藏,CN-R-SW,西南,95.453,97.592,88.972,98.838,105.13,100.549,77.146,5.433,0.347,国家统计局,2016-02-10,final
