ref_date,year,month,geo_level,geo_code,geo_name,parent_geo_code,parent_geo_name,policy_rate_pct,lpr_1y_pct,lpr_5y_pct,repo_7d_pct,bond_1y_pct,bond_10y_pct,yield_spread_10y_1y_bps,real_policy_rate_pct,source_org,release_date,data_status
2016-01-01,2016,1,national,CN,中国,,,2.426,3.444,3.926,1.858,1.949,2.44,49,1.448,中国人民银行,2016-02-10,final
2016-02-01,2016,2,national,CN,中国,,,2.432,3.472,4.005,1.974,1.881,2.505,62,1.138,中国人民银行,2016-03-12,final
2016-03-01,2016,3,national,CN,中国,,,2.449,3.436,3.973,2.026,2.012,2.444,43,1.27,中国人民银行,2016-04-10,final
2016-04-01,2016,4,national,CN,中国,,,2.455,3.461,3.943,2.067,2.078,2.512,43,1.364,中国人民银行,2016-05-11,final
2016-05-01,2016,5,national,CN,中国,,,2.438,3.499,3.966,1.907,1.975,2.515,54,1.55,中国人民银行,2016-06-10,final
2016-06-01,2016,6,national,CN,中国,,,2.435,3.429,3.986,1.868,1.808,2.338,53,1.405,中国人民银行,2016-07-11,final
2016-07-01,2016,7,national,CN,中国,,,2.479,3.495,3.906,1.786,1.775,2.436,66,2.126,中国人民银行,2016-08-10,final
2016-08-01,2016,8,national,CN,中国,,,2.425,3.426,3.981,1.649,1.733,2.426,69,2.026,中国人民银行,2016-09-10,final
2016-09-01,2016,9,national,CN,中国,,,2.474,3.485,3.909,1.65,1.832,2.306,47,1.987,中国人民银行,2016-10-11,final
2016-10-01,2016,10,national,CN,中国,,,2.461,3.444,3.896,1.625,1.805,2.293,49,2.272,中国人民银行,2016-11-10,final
2016-11-01,2016,11,national,CN,中国,,,2.453,3.456,3.989,1.764,1.832,2.414,58,1.95,中国人民银行,2016-12-11,final
2016-12-01,2016,12,national,CN,中国,,,2.423,3.416,4.005,1.817,1.857,2.375,52,1.803,中国人民银行,2017-01-10,final
2017-01-01,2017,1,national,CN,中国,,,2.456,3.377,3.852,1.887,1.979,2.418,44,1.329,中国人民银行,2017-02-10,final
2017-02-01,2017,2,national,CN,中国,,,2.416,3.385,3.858,2.075,1.996,2.633,64,0.867,中国人民银行,2017-03-13,final
2017-03-01,2017,3,national,CN,中国,,,2.428,3.467,3.863,2.04,2.056,2.44,38,1.077,中国人民银行,2017-04-10,final
2017-04-01,2017,4,national,CN,中国,,,2.42,3.405,3.874,2.012,1.893,2.489,60,1.217,中国人民银行,2017-05-11,final
2017-05-01,2017,5,national,CN,中国,,,2.414,3.421,3.948,1.972,1.905,2.476,57,1.222,中国人民银行,2017-06-10,final
2017-06-01,2017,6,national,CN,中国,,,2.457,3.399,3.866,1.941,1.802,2.355,55,1.622,中国人民银行,2017-07-11,final
2017-07-01,2017,7,national,CN,中国,,,2.439,3.399,3.922,1.681,1.763,2.422,66,1.934,中国人民银行,2017-08-10,final
2017-08-01,2017,8,national,CN,中国,,,2.423,3.422,3.895,1.724,1.845,2.357,51,1.725,中国人民银行,2017-09-10,final
2017-09-01,2017,9,national,CN,中国,,,2.4,3.373,3.89,1.75,1.903,2.39,49,1.879,中国人民银行,2017-10-11,final
2017-10-01,2017,10,national,CN,中国,,,2.411,3.402,3.948,1.704,1.846,2.462,62,2.021,中国人民银行,2017-11-10,final
2017-11-01,2017,11,national,CN,中国,,,2.456,3.384,3.913,1.723,1.817,2.344,53,1.907,中国人民银行,2017-12-11,final
2017-12-01,2017,12,national,CN,中国,,,2.411,3.462,3.933,1.915,1.889,2.448,56,1.271,中国人民银行,2018-01-10,final
2018-01-01,2018,1,national,CN,中国,,,2.434,3.418,3.819,2.011,1.908,2.44,53,0.974,中国人民银行,2018-02-10,final
2018-02-01,2018,2,national,CN,中国,,,2.407,3.354,3.795,2.072,2.062,2.514,45,0.902,中国人民银行,2018-03-13,final
2018-03-01,2018,3,national,CN,中国,,,2.393,3.428,3.905,2.042,1.935,2.657,72,0.657,中国人民银行,2018-04-10,final
2018-04-01,2018,4,national,CN,中国,,,2.408,3.407,3.832,2.049,2.049,2.62,57,0.771,中国人民银行,2018-05-11,final
2018-05-01,2018,5,national,CN,中国,,,2.425,3.391,3.806,1.886,1.951,2.518,57,0.944,中国人民银行,2018-06-10,final
2018-06-01,2018,6,national,CN,中国,,,2.4,3.357,3.902,1.915,1.984,2.459,48,1.414,中国人民银行,2018-07-11,final
2018-07-01,2018,7,national,CN,中国,,,2.429,3.439,3.831,1.704,1.95,2.36,41,1.702,中国人民银行,2018-08-10,final
2018-08-01,2018,8,national,CN,中国,,,2.406,3.368,3.908,1.762,1.712,2.44,73,1.668,中国人民银行,2018-09-10,final
2018-09-01,2018,9,national,CN,中国,,,2.431,3.4,3.888,1.751,1.839,2.449,61,2.048,中国人民银行,2018-10-11,final
2018-10-01,2018,10,national,CN,中国,,,2.435,3.434,3.801,1.765,1.766,2.324,56,1.756,中国人民银行,2018-11-10,final
2018-11-01,2018,11,national,CN,中国,,,2.402,3.378,3.838,1.693,1.945,2.294,35,1.576,中国人民银行,2018-12-11,final
2018-12-01,2018,12,national,CN,中国,,,2.415,3.433,3.822,1.771,1.831,2.544,71,1.133,中国人民银行,2019-01-10,final
2019-01-01,2019,1,national,CN,中国,,,2.404,3.329,3.745,2.01,1.994,2.582,59,0.853,中国人民银行,2019-02-10,final
2019-02-01,2019,2,national,CN,中国,,,2.404,3.314,3.744,2.076,2.007,2.569,56,0.73,中国人民银行,2019-03-13,final
2019-03-01,2019,3,national,CN,中国,,,2.402,3.382,3.849,2.012,1.966,2.527,56,0.877,中国人民银行,2019-04-10,final
2019-04-01,2019,4,national,CN,中国,,,2.382,3.315,3.791,1.885,2.012,2.616,60,0.599,中国人民银行,2019-05-11,final
2019-05-01,2019,5,national,CN,中国,,,2.413,3.316,3.75,1.975,2.042,2.435,39,0.839,中国人民银行,2019-06-10,final
2019-06-01,2019,6,national,CN,中国,,,2.381,3.335,3.819,1.803,1.907,2.482,58,1.047,中国人民银行,2019-07-11,final
2019-07-01,2019,7,national,CN,中国,,,2.373,3.387,3.795,1.746,1.851,2.324,47,1.434,中国人民银行,2019-08-10,final
2019-08-01,2019,8,national,CN,中国,,,2.393,3.333,3.787,1.668,1.809,2.259,45,1.66,中国人民银行,2019-09-10,final
2019-09-01,2019,9,national,CN,中国,,,2.407,3.336,3.852,1.663,1.872,2.291,42,1.824,中国人民银行,2019-10-11,final
2019-10-01,2019,10,national,CN,中国,,,2.412,3.332,3.802,1.709,1.74,2.441,70,1.856,中国人民银行,2019-11-10,final
2019-11-01,2019,11,national,CN,中国,,,2.388,3.354,3.803,1.83,1.909,2.341,43,1.482,中国人民银行,2019-12-11,final
2019-12-01,2019,12,national,CN,中国,,,2.417,3.355,3.742,1.933,1.804,2.336,53,1.326,中国人民银行,2020-01-10,final
2020-01-01,2020,1,national,CN,中国,,,2.399,3.287,3.726,1.997,1.933,2.413,48,0.927,中国人民银行,2020-02-10,final
2020-02-01,2020,2,national,CN,中国,,,2.341,3.34,3.767,1.962,1.987,2.408,42,0.847,中国人民银行,2020-03-12,final
