ref_date,year,month,geo_level,geo_code,geo_name,parent_geo_code,parent_geo_name,m0_100m_cny,m1_100m_cny,m2_100m_cny,m0_yoy_pct,m1_yoy_pct,m2_yoy_pct,social_financing_flow_100m_cny,loan_balance_100m_cny,reserve_ratio_pct,source_org,release_date,data_status
2016-01-01,2016,1,national,CN,中国,,,118180.75,695809.12,2883510.13,6.764,4.249,9.204,33891.36,2484652.82,7.645,中国人民银行,2016-02-10,final
2016-01-01,2016,1,region,CN-R-NC,华北,CN,中国,14259.3,83954.02,347914.75,6.984,3.945,8.039,3917.14,299789.95,7.355,中国人民银行,2016-02-10,final
2016-01-01,2016,1,region,CN-R-NE,东北,CN,中国,5494.98,32352.62,134072.84,6.194,2.655,9.462,1769.89,115527.41,7.602,中国人民银行,2016-02-10,final
2016-01-01,2016,1,region,CN-R-EC,华东,CN,中国,46898.91,276125.26,1144293.67,6.954,2.636,9.045,14990.87,986010.92,7.415,中国人民银行,2016-02-10,final
2016-01-01,2016,1,region,CN-R-CC,华中,CN,中国,15665.37,92232.48,382221.63,6.627,3.035,8.909,4021.94,329351.38,7.613,中国人民银行,2016-02-10,final
2016-01-01,2016,1,region,CN-R-SC,华南,CN,中国,15664.23,92225.78,382193.84,5.435,2.654,8.291,3744.9,329327.44,7.529,中国人民银行,2016-02-10,final
2016-01-01,2016,1,region,CN-R-SW,西南,CN,中国,13348.52,78591.64,325692.48,6.523,3.133,8.855,3296.32,280641.55,7.346,中国人民银行,2016-02-10,final
2016-01-01,2016,1,region,CN-R-NW,西北,CN,中国,6849.46,40327.32,167120.91,5.079,2.323,8.837,2150.29,144004.16,7.546,中国人民银行,2016-02-10,final
2016-01-01,2016,1,province,CN-BJ,北京,CN-R-NC,华北,4223.4,24865.99,103047.43,6.713,3.245,9.099,1164.91,88793.54,7.557,中国人民银行,2016-02-10,final
2016-01-01,2016,1,province,CN-TJ,天津,CN-R-NC,华北,1652.71,9730.58,40324.6,6.994,3.884,8.584,407.91,34746.76,7.608,中国人民银行,2016-02-10,final
2016-01-01,2016,1,province,CN-HE,河北,CN-R-NC,华北,4331.56,25502.8,105686.44,6.511,4.251,8.031,1189.33,91067.51,7.594,中国人民银行,2016-02-10,final
2016-01-01,2016,1,province,CN-SX,山西,CN-R-NC,华北,2395.1,14101.57,58438.48,6.042,4.172,9.088,665.55,50355.06,7.591,中国人民银行,2016-02-10,final
2016-01-01,2016,1,province,CN-NM,内蒙古,CN-R-NC,华北,1656.53,9753.07,40417.81,6.368,2.623,8.241,489.43,34827.08,7.432,中国人民银行,2016-02-10,final
2016-01-01,2016,1,province,CN-LN,辽宁,CN-R-NE,东北,2802.71,16501.43,68383.74,6.189,3.998,8.386,842.3,58924.66,7.606,中国人民银行,2016-02-10,final
2016-01-01,2016,1,province,CN-JL,吉林,CN-R-NE,东北,1097.68,6462.77,26782.42,6.853,2.828,9.154,386.18,23077.78,7.51,中国人民银行,2016-02-10,final
2016-01-01,2016,1,province,CN-HL,黑龙江,CN-R-NE,东北,1594.59,9388.43,38906.68,5.288,2.722,8.138,541.41,33524.96,7.628,中国人民银行,2016-02-10,final
2016-01-01,2016,1,province,CN-SH,上海,CN-R-EC,华东,4295.97,25293.3,104818.21,6.217,4.01,9.092,1573.41,90319.38,7.507,中国人民银行,2016-02-10,final
2016-01-01,2016,1,province,CN-JS,江苏,CN-R-EC,华东,11630.5,68476.51,283774.21,6.65,2.888,8.945,3294.27,244521.57,7.563,中国人民银行,2016-02-10,final
2016-01-01,2016,1,province,CN-ZJ,浙江,CN-R-EC,华东,8215.14,48368.02,200442.45,5.562,2.919,8.244,2972.88,172716.54,7.35,中国人民银行,2016-02-10,final
2016-01-01,2016,1,province,CN-AH,安徽,CN-R-EC,华东,4374.21,25753.92,106727.12,6.33,3.312,9.145,1307.33,91964.25,7.528,中国人民银行,2016-02-10,final
2016-01-01,2016,1,province,CN-FJ,福建,CN-R-EC,华东,4757.36,28009.79,116075.65,6.925,2.317,8.629,1493.31,100019.65,7.364,中国人民银行,2016-02-10,final
2016-01-01,2016,1,province,CN-JX,江西,CN-R-EC,华东,2899.32,17070.23,70740.94,5.563,3.185,8.307,842.39,60955.81,7.37,中国人民银行,2016-02-10,final
