ref_date,year,month,geo_level,geo_code,geo_name,parent_geo_code,parent_geo_name,home_price_idx,new_home_sales_10k_sqm,existing_home_sales_10k_sqm,housing_starts_10k_sqm,real_estate_investment_100m_cny,mortgage_rate_pct,vacancy_rate_pct,inventory_months,home_price_yoy_pct,source_org,release_date,data_status
2016-01-01,2016,1,national,CN,中国,,,100.785,9332.56,13190.06,7230.94,8871.23,3.876,16.237,13.602,-2.13,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-NC,华北,CN,中国,103.575,1161.13,1641.07,899.66,1103.73,3.92,13.421,13.881,-2.291,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-NE,东北,CN,中国,103.466,453.32,640.7,351.24,430.91,4.169,12.507,15.964,-2.572,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-EC,华东,CN,中国,100.536,3745.64,5293.86,2902.15,3560.48,4.03,15.602,11.813,1.092,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-CC,华中,CN,中国,100.176,1170.52,1654.35,906.92,1112.66,3.649,12.196,14.326,0.846,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-SC,华南,CN,中国,102.217,1163.71,1644.72,901.65,1106.19,3.686,10.588,12.395,-0.528,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-SW,西南,CN,中国,98.359,1102.85,1558.69,854.49,1048.32,4.087,14.826,11.956,-0.396,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-NW,西北,CN,中国,102.288,535.39,756.69,414.83,508.93,3.996,14.709,11.223,1.025,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-BJ,北京,CN-R-NC,华北,101.315,353.0,498.9,273.51,335.54,3.995,11.952,15.231,0.571,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-TJ,天津,CN-R-NC,华北,101.293,130.27,184.12,100.94,123.83,4.201,10.147,14.272,-2.624,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HE,河北,CN-R-NC,华北,102.281,335.93,474.8,260.29,319.32,3.712,11.154,16.44,-2.548,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-SX,山西,CN-R-NC,华北,102.399,204.48,289.01,158.44,194.38,3.947,10.297,14.636,-2.083,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-NM,内蒙古,CN-R-NC,华北,100.196,137.44,194.25,106.49,130.64,3.853,10.043,16.658,-2.505,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-LN,辽宁,CN-R-NE,东北,101.212,237.98,336.35,184.39,226.22,3.65,14.147,15.347,0.914,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-JL,吉林,CN-R-NE,东北,99.655,88.72,125.39,68.73,84.33,3.724,11.747,14.765,0.67,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HL,黑龙江,CN-R-NE,东北,103.617,126.62,178.97,98.12,120.36,4.19,15.419,14.225,1.018,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-SH,上海,CN-R-EC,华东,100.041,339.26,479.49,262.86,322.49,3.781,15.748,16.23,-0.34,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-JS,江苏,CN-R-EC,华东,98.571,973.96,1376.53,754.62,925.8,4.282,16.152,12.871,-0.983,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-ZJ,浙江,CN-R-EC,华东,99.192,605.14,855.28,468.87,575.23,3.827,14.394,11.317,-0.937,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-AH,安徽,CN-R-EC,华东,103.592,362.63,512.51,280.97,344.7,3.761,13.064,15.496,-1.8,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-FJ,福建,CN-R-EC,华东,98.743,356.85,504.35,276.49,339.21,4.245,12.353,12.809,-0.531,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-JX,江西,CN-R-EC,华东,100.739,229.56,324.44,177.87,218.21,4.017,12.314,15.655,0.231,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-SD,山东,CN-R-EC,华东,101.12,878.25,1241.26,680.48,834.84,3.693,12.741,13.438,-1.759,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HA,河南,CN-R-CC,华中,99.575,416.91,589.25,323.02,396.31,3.806,15.738,15.883,1.185,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HB,湖北,CN-R-CC,华中,99.463,396.39,560.24,307.13,376.8,3.858,14.543,13.712,-0.637,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HN,湖南,CN-R-CC,华中,101.6,357.22,504.86,276.77,339.56,3.799,11.835,11.501,-0.872,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-GD,广东,CN-R-SC,华南,98.785,932.23,1317.57,722.3,886.15,3.976,14.474,11.316,0.65,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-GX,广西,CN-R-SC,华南,99.214,178.34,252.05,138.17,169.52,4.219,14.195,10.866,-0.824,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HI,海南,CN-R-SC,华南,103.434,53.14,75.1,41.18,50.52,4.164,10.958,12.857,0.974,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-CQ,重庆,CN-R-SW,西南,102.257,215.28,304.27,166.8,204.63,4.309,10.055,14.22,0.115,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-SC,四川,CN-R-SW,西南,99.006,468.41,662.01,362.92,445.25,3.714,10.094,12.747,-2.636,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-GZ,贵州,CN-R-SW,西南,102.743,186.85,264.08,144.77,177.61,4.076,13.702,12.362,0.292,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-YN,云南,CN-R-SW,西南,98.929,210.26,297.16,162.91,199.87,3.976,14.385,16.475,-2.429,国家统计局,2016-02-10,final
