ref_date,year,month,geo_level,geo_code,geo_name,parent_geo_code,parent_geo_name,total_sales_100m_cny,auto_sales_100m_cny,food_sales_100m_cny,ecommerce_sales_100m_cny,service_retail_100m_cny,yoy_change_pct,mom_change_sa_pct,real_yoy_change_pct,source_org,release_date,data_status
2016-01-01,2016,1,national,CN,中国,,,38524.69,3557.6,6823.53,9548.51,11674.58,4.897,1.096,3.919,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-NC,华北,CN,中国,4522.5,409.39,847.32,1292.66,1275.94,3.917,-0.195,3.652,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-NE,东北,CN,中国,1769.11,116.36,334.09,493.31,518.62,6.783,1.114,5.372,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-EC,华东,CN,中国,15133.85,1484.32,2684.4,3593.77,4535.94,5.234,1.087,4.069,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-CC,华中,CN,中国,5181.55,489.94,808.14,1239.34,1668.78,5.513,1.29,5.083,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-SC,华南,CN,中国,5137.41,457.93,1003.36,1240.34,1436.64,5.029,1.462,4.002,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-SW,西南,CN,中国,4457.96,392.44,802.88,1037.64,1522.66,4.78,-0.042,4.642,国家统计局,2016-02-10,final
2016-01-01,2016,1,region,CN-R-NW,西北,CN,中国,2322.31,207.22,343.35,651.46,716.0,5.066,1.067,4.663,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-BJ,北京,CN-R-NC,华北,1359.5,104.28,271.42,350.85,399.17,6.335,0.669,4.65,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-TJ,天津,CN-R-NC,华北,524.6,40.12,112.4,162.57,130.14,5.513,1.494,3.917,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HE,河北,CN-R-NC,华北,1339.19,108.96,225.62,388.65,350.23,4.556,0.638,2.736,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-SX,山西,CN-R-NC,华北,766.51,89.98,148.17,217.08,245.27,5.358,-0.122,3.793,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-NM,内蒙古,CN-R-NC,华北,532.7,66.05,89.71,173.51,151.12,4.596,0.823,3.613,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-LN,辽宁,CN-R-NE,东北,927.76,55.39,159.09,263.16,278.09,7.052,0.231,6.745,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-JL,吉林,CN-R-NE,东北,340.32,19.06,68.88,99.04,108.78,6.864,0.778,5.574,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HL,黑龙江,CN-R-NE,东北,501.02,41.91,106.12,131.11,131.75,5.892,1.439,4.546,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-SH,上海,CN-R-EC,华东,1359.83,155.8,255.67,373.79,401.48,3.313,-0.242,2.88,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-JS,江苏,CN-R-EC,华东,3959.21,357.47,774.22,828.71,1055.86,5.965,0.455,4.485,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-ZJ,浙江,CN-R-EC,华东,2558.49,222.2,386.14,578.94,835.07,6.483,1.152,6.168,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-AH,安徽,CN-R-EC,华东,1386.06,148.1,225.93,368.24,427.92,4.664,1.149,3.563,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-FJ,福建,CN-R-EC,华东,1576.06,125.55,312.28,316.86,513.76,5.064,-0.134,3.364,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-JX,江西,CN-R-EC,华东,956.4,84.0,159.64,249.55,329.94,6.603,0.124,6.408,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-SD,山东,CN-R-EC,华东,3337.8,391.21,570.51,877.67,971.92,4.488,0.122,4.334,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HA,河南,CN-R-CC,华中,1873.16,208.31,323.69,405.07,551.34,3.663,1.239,2.661,国家统计局,2016-02-10,final
