ref_date,year,month,geo_level,geo_code,geo_name,parent_geo_code,parent_geo_name,exports_musd,imports_musd,trade_balance_musd,export_yoy_pct,import_yoy_pct,top_export_category,top_import_category,top_export_partner,top_import_partner,source_org,release_date,data_status
2016-01-01,2016,1,national,CN,中国,,,329237.92,252993.23,76244.69,2.516,-0.84,服务贸易,集成电路,中国香港,澳大利亚,海关总署,2016-02-10,final
2016-01-01,2016,1,region,CN-R-NC,华北,CN,中国,40093.53,29245.38,10848.15,0.527,-2.334,化工产品,铁矿砂,中国香港,东盟,海关总署,2016-02-10,final
2016-01-01,2016,1,region,CN-R-NE,东北,CN,中国,15165.19,11753.51,3411.68,5.376,5.371,钢材,原油,俄罗斯,日本,海关总署,2016-02-10,final
2016-01-01,2016,1,region,CN-R-EC,华东,CN,中国,133028.94,101407.12,31621.82,-3.709,1.289,纺织服装,机械设备,欧盟,巴西,海关总署,2016-02-10,final
2016-01-01,2016,1,region,CN-R-CC,华中,CN,中国,46088.61,37947.79,8140.82,-3.177,3.711,机电产品,化工品,日本,东盟,海关总署,2016-02-10,final
2016-01-01,2016,1,region,CN-R-SC,华南,CN,中国,40465.53,29753.68,10711.85,4.59,0.824,高新技术产品,原油,俄罗斯,日本,海关总署,2016-02-10,final
2016-01-01,2016,1,region,CN-R-SW,西南,CN,中国,35806.46,28786.58,7019.88,5.671,5.432,纺织服装,农产品,东盟,韩国,海关总署,2016-02-10,final
2016-01-01,2016,1,region,CN-R-NW,西北,CN,中国,18589.65,14099.17,4490.48,5.173,2.474,农产品,天然气,巴西,巴西,海关总署,2016-02-10,final
2016-01-01,2016,1,province,CN-BJ,北京,CN-R-NC,华北,12558.01,9571.09,2986.92,-2.443,-2.106,钢材,原油,俄罗斯,巴西,海关总署,2016-02-10,final
2016-01-01,2016,1,province,CN-TJ,天津,CN-R-NC,华北,4766.83,3268.97,1497.86,4.052,4.468,汽车,机械设备,韩国,俄罗斯,海关总署,2016-02-10,final
2016-01-01,2016,1,province,CN-HE,河北,CN-R-NC,华北,11437.93,8304.88,3133.05,-0.036,0.033,钢材,服务贸易,澳大利亚,美国,海关总署,2016-02-10,final
2016-01-01,2016,1,province,CN-SX,山西,CN-R-NC,华北,6358.68,4283.76,2074.92,-0.77,-0.801,汽车,服务贸易,澳大利亚,东盟,海关总署,2016-02-10,final
2016-01-01,2016,1,province,CN-NM,内蒙古,CN-R-NC,华北,4972.07,3816.68,1155.39,3.487,3.08,高新技术产品,集成电路,欧盟,韩国,海关总署,2016-02-10,final
2016-01-01,2016,1,province,CN-LN,辽宁,CN-R-NE,东北,7578.9,5643.34,1935.56,-1.606,6.914,机电产品,化工品,日本,欧盟,海关总署,2016-02-10,final
2016-01-01,2016,1,province,CN-JL,吉林,CN-R-NE,东北,3155.43,2461.21,694.22,-1.489,6.106,化工产品,化工品,日本,俄罗斯,海关总署,2016-02-10,final
